,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
83,Tue 13th Sep 22,,de_overpass,16:4,,,14,15,4,-1,50,86,0,0,0,0,0,0,0,1,1.19,View Match
84,Tue 13th Sep 22,,de_mirage,16:3,,,22,11,2,11,50,121,0,0,0,0,0,1,0,0,1.78,View Match
85,Tue 13th Sep 22,,de_nuke,7:16,,,12,19,5,-7,25,67,0,0,0,1,1,0,0,2,0.63,View Match
86,Tue 13th Sep 22,,de_inferno,4:9,,,6,12,3,-6,67,59,0,0,0,0,0,0,0,0,0.58,View Match
87,Tue 13th Sep 22,,de_dust2,16:11,,,18,16,2,2,67,66,0,0,0,0,0,0,0,0,1.06,View Match
88,Tue 13th Sep 22,,de_mirage,16:11,,,16,18,4,-2,38,66,0,0,0,0,0,0,0,0,1.05,View Match
89,Tue 13th Sep 22,,de_dust2,9:1,,,6,6,3,0,67,86,0,0,0,0,0,0,0,0,1.16,View Match
90,Tue 13th Sep 22,,de_inferno,15:15,,,29,18,3,11,41,101,0,1,0,0,0,0,1,2,1.53,View Match
91,Tue 13th Sep 22,,de_inferno,16:12,,,24,17,2,7,42,87,0,0,0,0,1,0,0,1,1.35,View Match
92,Mon 12th Sep 22,,de_mirage,9:16,,,21,19,2,2,38,76,0,0,0,1,0,0,0,3,0.99,View Match
93,Mon 12th Sep 22,,de_cache,16:12,,,15,19,2,-4,40,67,0,0,0,0,0,0,0,0,0.86,View Match
94,Mon 12th Sep 22,,de_dust2,13:16,,,20,26,6,-6,30,88,0,0,0,0,0,0,0,1,1.04,View Match
95,Sun 11th Sep 22,,de_cache,16:8,,,20,12,7,8,35,102,0,0,0,0,0,0,0,1,1.46,View Match
96,Sun 11th Sep 22,,de_dust2,16:10,,,21,21,5,0,43,91,0,0,0,0,0,0,0,1,1.24,View Match
97,Sun 11th Sep 22,,de_cache,16:13,,,16,21,5,-5,63,62,0,0,0,0,0,0,0,1,0.85,View Match
98,Sat 10th Sep 22,,de_mirage,16:13,,,28,22,4,6,29,104,0,0,0,0,1,0,1,1,1.4,View Match
99,Sat 10th Sep 22,,de_dust2,16:8,,,16,15,3,1,19,75,0,0,0,0,0,0,0,1,1.08,View Match
100,Sat 10th Sep 22,,de_mirage,7:9,,,15,10,2,5,60,79,0,0,0,0,0,0,0,3,1.36,View Match
101,Sat 10th Sep 22,,de_inferno,10:16,,,18,24,2,-6,33,95,0,0,0,0,0,0,0,0,0.99,View Match
102,Sat 10th Sep 22,,de_dust2,16:6,,,15,14,7,1,60,84,0,0,0,0,0,0,0,1,1.22,View Match
103,Fri 9th Sep 22,,de_dust2,16:6,,,18,10,4,8,22,98,0,0,0,0,0,0,0,1,1.46,View Match
104,Fri 9th Sep 22,,de_inferno,7:16,,,22,19,1,3,50,109,0,0,0,0,0,0,0,3,1.32,View Match
105,Fri 9th Sep 22,,de_mirage,14:16,,,22,25,4,-3,27,87,0,0,0,0,0,0,1,2,0.99,View Match
106,Fri 9th Sep 22,,de_dust2,9:3,,,19,6,0,13,37,121,0,0,1,0,1,0,1,2,2.11,View Match
107,Fri 9th Sep 22,,de_dust2,4:9,,,10,12,4,-2,20,88,0,0,0,0,1,0,0,0,1.12,View Match
108,Fri 9th Sep 22,,de_cache,16:3,,,16,8,3,8,38,74,0,0,0,1,1,0,0,1,1.44,View Match
109,Fri 9th Sep 22,,de_mirage,8:8,,,11,14,3,-3,45,81,0,0,0,0,0,0,0,0,1.07,View Match
110,Fri 9th Sep 22,,de_inferno,8:8,,,20,11,0,9,50,113,0,0,0,1,3,0,0,2,1.69,View Match
111,Fri 9th Sep 22,,de_mirage,9:7,,,10,14,5,-4,20,82,0,0,0,0,0,0,0,0,0.89,View Match
112,Wed 7th Sep 22,,de_dust2,16:14,,,21,21,4,0,52,79,0,0,0,0,2,0,0,1,1.01,View Match
113,Wed 7th Sep 22,,de_inferno,16:8,,,18,16,4,2,39,85,0,0,0,0,0,0,0,0,1.2,View Match
114,Wed 7th Sep 22,,de_mirage,8:16,,,23,20,5,3,35,103,0,0,0,1,0,0,0,2,1.44,View Match
115,Wed 7th Sep 22,,de_dust2,16:10,,,24,19,3,5,38,95,0,0,0,0,0,0,1,0,1.33,View Match
116,Wed 7th Sep 22,,de_dust2,16:6,,,32,12,7,20,53,152,0,0,0,1,1,1,1,2,2.19,View Match
117,Wed 7th Sep 22,,de_dust2,9:3,,,10,6,4,4,30,85,0,0,0,0,0,0,0,1,1.44,View Match
118,Wed 7th Sep 22,,de_mirage,9:6,,,15,10,2,5,73,107,0,0,0,0,0,0,0,2,1.62,View Match
119,Wed 7th Sep 22,,de_overpass,9:1,,,10,7,3,3,20,84,0,0,0,0,0,0,0,1,1.37,View Match
120,Wed 7th Sep 22,,de_anubis,8:8,,,6,13,0,-7,33,42,0,0,0,2,0,0,0,0,0.37,View Match
121,Wed 7th Sep 22,,de_mirage,13:16,,,12,24,3,-12,58,61,0,0,0,0,0,0,0,0,0.59,View Match
